Designator,Mid X,Mid Y,Rotation,Layer
C1,108.458,-68.834,90.0,top
C10,101.6,-153.416,90.0,top
C2,101.6,-70.358,90.0,top
C3,108.458,-83.312,90.0,top
C4,101.6,-85.09,90.0,top
C5,105.955112,-94.0,180.0,bottom
C6,105.955113,-116.0,180.0,bottom
C7,108.458,-137.16,90.0,top
C8,101.6,-138.938,90.0,top
C9,108.458,-151.638,90.0,top
J1,105.0,-57.0,0.0,bottom
J2,105.0,-70.0,180.0,bottom
J3,105.0,-84.5,180.0,bottom
J4,106.2525,-110.08,180.0,top
J5,105.0,-125.5,0.0,bottom
J6,105.0,-138.5,180.0,bottom
J7,105.0,-153.0,180.0,bottom
R1,108.458,-52.832,270.0,top
R2,108.458,-72.39,270.0,top
R3,108.458,-86.868,270.0,top
R4,101.5,-121.158,270.0,top
R5,108.458,-140.716,270.0,top
R6,108.458,-155.194,270.0,top
U1,105.0,-70.5,180.0,top
U2,105.0,-85.0,180.0,top
U3,105.0,-138.95,180.0,top
U4,105.0,-153.5,180.0,top
