Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3",0805,2,10nF,
"C2, C4",0805,2,100nF,
C5,CP_Radial_D5.0mm_P2.00mm,1,10uF/25V,
C6,CP_Radial_D4.0mm_P2.00mm,1,4.7uF/25V,
"D1, D3, D4, D5, D6",D_SOD-323_HandSoldering,5,1N4148WS,
D2,LED_D3.0mm_Blue,1,GREEN LED,
J1,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,IN,
J2,IDC-Header_2x05_P2.54mm_Vertical,1,PWR,
J3,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,OUT,
"Q1, Q2, Q3",SOT-23,3,BC847,
"R1, R7",0805,2,10k,
"R10, R11, R12",0805,3,120,
R13,0805,1,1k,
R2,0805,1,3k3,
R3,0805,1,1M,
"R4, R6, R8, R9",0805,4,4k7,
R5,0805,1,22k,
RV1,Potentiometer_Alpha_RD901F-40-00D_Single_Vertical,1,B10K,
"RV2, RV3, RV4",Potentiometer_Alpha_RD901F-40-00D_Single_Vertical,3,A1M,
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,LM358,
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,TLC555xD,
