Designator,Footprint,Quantity,Value,LCSC Part #
U4,TSSOP-16_4.4x5mm_P0.65mm,1,4015,C2682013
C6,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1,100n,C49678
C2,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1,1u,C28323
C3,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1,100p,C1790
C1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1,1u,C28323
C5,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1,100n,C49678
D2,D_SOD-323,1,1N4148WS,C2128
R3,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,10k,C17414
C7,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1,100n,C49678
U2,TSSOP-16_4.4x5mm_P0.65mm,1,4015,C2682013
U3,TSSOP-16_4.4x5mm_P0.65mm,1,4015,C2682013
R6,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,47k,C17713
R4,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,33k,C17633
U1,SOIC-14_3.9x8.7mm_P1.27mm,1,4070,C28329
R1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,100k,C149504
C8,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1,100n,C49678
R2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,10k,C17414
C4,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1,100n,C49678
D1,D_SOD-323,1,1N4148WS,C2128
U5,TSSOP-16_4.4x5mm_P0.65mm,1,4015,C2682013
R5,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,10k,C17414
J1,PinHeader_1x04_P2.54mm_Vertical,1,B2B_conn,
J2,PinHeader_1x04_P2.54mm_Vertical,1,B2B_conn,
