Designator,Mid X,Mid Y,Rotation,Layer
U4,79.502,-50.546,-90.0,top
C6,81.28,-46.564,180.0,top
C2,56.134,-53.086,-90.0,top
C3,71.628,-58.928,-90.0,top
C1,59.69,-53.086,-90.0,top
C5,71.374,-42.418,180.0,top
D2,56.134,-57.37,-90.0,top
R3,59.69,-57.5,90.0,top
C7,81.28,-58.166,180.0,top
U2,59.25,-46.482,-90.0,top
U3,69.596,-46.5,-90.0,top
R6,56.134,-61.722,90.0,top
R4,68.834,-66.802,0.0,top
U1,65.62,-60.5,-90.0,top
R1,63.754,-66.802,180.0,top
C8,69.088,-54.356,0.0,top
R2,63.754,-54.356,0.0,top
C4,61.214,-42.418,180.0,top
D1,59.69,-61.722,90.0,top
U5,79.502,-62.23,-90.0,top
R5,71.628,-63.5,90.0,top
J1,52.07,-50.8,180.0,bottom
J2,87.63,-50.8,180.0,bottom
