Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C12, C13, C15, C16, C17, C18, C22, C3, C5, C7, C9",0402,13,100n,C1525
"C10, C14, C21",0603,3,1u,C15849
"C2, C4",0603,2,10u,C96446
C20,CP_Radial_D5.0mm_P2.00mm,1,10u/50V LP,
"C6, C8",0603,2,27p,C107045
"D1, D2",D_SOD-123,2,B5819W SL,C8598
D3,SOT-23,1,D5V0L2B3SO-7,C445541
J1,USB_C_Receptacle_SHOU_HAN_16PIN_2MD(073),1,USB_C_Receptacle_USB2.0,C2765186
J2,PinHeader_1x20_P2.54mm_Vertical,1,B2B_1,
J3,PinHeader_1x20_P2.54mm_Vertical,1,B2B_2,
"R1, R2",0603,2,5k1,C23186
"R10, R9",0603,2,2k2,C4190
R12,0603,1,10k,C25804
R4,0603,1,150,C22808
"R5, R8",0603,2,1k,C21190
"R6, R7",0603,2,27,C25190
SW1,SW_PUSH_6mm_H5mm,1,BOOTSEL,
SW2,SW_PUSH_6mm_H5mm,1,RESET,
U1,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U2,SOIC-8_5.275x5.275mm_P1.27mm,1,W25Q128JVS,C97521
U3,SOT-23,1,LM4040D30FTA,C460726
U4,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U5,SOT-23-5_HandSoldering,1,24LC32A,C616245
Y1,Crystal_SMD_HC49US-ABLS,1,ABLS-12.000MHZ-B4-T,C1986452
