Designator,Mid X,Mid Y,Rotation,Layer
C1,57.404,-52.832,180.0,top
C10,68.199,-69.977,90.0,top
C11,66.802,-83.185,270.0,top
C12,60.706,-74.168,180.0,top
C13,59.944,-78.486,180.0,top
C14,69.85,-69.977,270.0,top
C15,65.786,-83.185,270.0,top
C16,66.294,-70.358,90.0,top
C17,71.12,-73.406,0.0,top
C18,73.279,-78.232,0.0,top
C2,56.909,-51.308,180.0,top
C20,54.670888,-56.388,0.0,top
C21,53.848,-52.578,180.0,top
C22,73.124,-82.489,270.0,top
C3,62.23,-63.627,90.0,top
C4,63.754,-62.357,270.0,top
C5,62.23,-60.833,270.0,top
C6,61.849,-93.091,0.0,top
C7,71.12,-72.263,0.0,top
C8,69.723,-93.091,180.0,top
C9,65.151,-70.358,90.0,top
D1,55.753,-48.768,180.0,top
D2,62.357,-48.768,0.0,top
D3,72.39,-57.785,270.0,top
J1,72.39,-50.038,180.0,top
J2,50.8,-50.8,180.0,bottom
J3,81.28,-50.8,180.0,bottom
R1,75.819,-56.642,180.0,top
R10,77.343,-85.344,0.0,top
R12,68.834,-85.725,0.0,top
R2,68.961,-56.642,0.0,top
R3,57.404,-63.881,0.0,top
R4,75.565,-69.342,90.0,top
R5,57.404,-62.103,180.0,top
R6,65.278,-65.913,270.0,top
R7,67.056,-65.913,270.0,top
R8,64.77,-85.725,180.0,top
R9,77.343,-79.629,0.0,top
SW1,69.469,-61.758,0.0,top
SW2,66.04,-101.981,180.0,top
U1,62.357,-54.991,90.0,top
U2,59.69,-67.691,270.0,top
U3,73.025,-69.723,270.0,top
U4,66.0,-77.25,0.0,top
U5,76.374,-82.489,0.0,top
Y1,65.786,-89.281,0.0,top
